"x","y","sample number","angle","30:23:03:87:17:98#WIFI-RTT","30:23:03:87:17:99#WIFI-RTT","30:23:03:87:17:9a#WIFI-RTT","58:cb:52:d7:b5:5d#WIFI-RTT","58:cb:52:d7:b5:31#WIFI-RTT","30:23:03:87:19:6e#WIFI-RTT","30:23:03:87:19:6d#WIFI-RTT","58:cb:52:d7:b4:d9#WIFI-RTT","30:23:03:87:19:6c#WIFI-RTT","58:cb:52:d7:bb:61#WIFI-RTT","30:23:03:87:17:80#WIFI-RTT","58:cb:52:d7:ad:ac#WIFI-RTT","30:23:03:87:17:81#WIFI-RTT","30:23:03:87:17:82#WIFI-RTT"
"0.0","0.0","45","0.0","-100.0","16.604","16.049","-1.485","5.701","11.4","9.81","17.598","23.832","15.714","19.594","-100.0","6.301","5.834","-100.0"
"0.0","0.0","46","0.0","32.182","16.804","15.814","-1.485","5.545","10.111","-100.0","17.614","-100.0","15.261","-100.0","-100.0","6.46","5.805","-100.0"
"0.0","0.0","47","0.0","-100.0","16.673","16.049","-1.604","5.633","11.459","9.651","17.586","24.682","15.186","-100.0","-100.0","6.36","5.995","-100.0"
"0.0","0.0","48","0.0","31.47","16.682","15.971","-1.635","5.589","11.547","9.616","17.561","24.607","14.973","20.544","-100.0","6.254","5.922","-100.0"
"0.0","0.0","49","0.0","31.591","16.798","16.049","-1.635","5.629","11.561","9.651","17.629","24.444","14.983","20.07","-100.0","6.251","5.907","-100.0"
"0.0","0.0","50","1.0","33.207","17.785","16.732","-1.873","5.12","9.159","9.535","17.308","28.076","16.787","21.795","-100.0","7.015","6.283","-100.0"
"0.0","0.0","51","1.0","32.569","17.463","15.429","-1.873","5.298","9.071","9.338","17.139","26.904","16.201","23.032","-100.0","6.451","5.834","-100.0"
"0.0","0.0","52","1.0","32.882","17.579","15.473","-1.873","5.158","9.276","9.573","17.401","29.716","16.523","22.569","-100.0","6.376","5.658","-100.0"
"0.0","0.0","53","1.0","33.007","17.71","15.414","-1.91","5.233","9.188","9.576","17.501","32.426","16.061","22.419","-100.0","6.454","5.834","-100.0"
"0.0","0.0","54","1.0","-100.0","17.532","15.414","-1.907","5.076","9.159","9.613","17.364","32.529","16.126","22.257","-100.0","6.454","5.819","-100.0"
"0.0","0.0","55","1.0","32.895","17.701","15.663","-1.801","5.073","9.086","9.466","17.223","-100.0","16.176","22.569","-100.0","6.535","5.756","-100.0"
"0.0","0.0","56","1.0","32.407","17.654","15.472","-1.848","5.204","9.218","9.523","17.22","33.045","16.095","23.044","-100.0","6.441","6.01","-100.0"
"0.0","0.0","57","1.0","-100.0","17.613","15.502","-1.76","5.111","9.188","9.501","17.392","-100.0","16.398","-100.0","-100.0","6.494","5.775","-100.0"
"0.0","0.0","58","1.0","32.407","17.738","15.516","-1.788","5.073","9.042","9.623","17.433","32.651","15.983","22.929","-100.0","6.444","5.932","-100.0"
"0.0","0.0","59","1.0","-100.0","17.507","15.663","-1.916","4.998","9.144","9.61","17.408","32.885","16.014","22.338","-100.0","6.366","6.068","-100.0"
"0.0","0.0","60","1.0","32.882","17.585","15.429","-1.829","5.039","9.335","9.61","17.192","31.938","16.242","22.882","-100.0","6.613","5.912","-100.0"
"0.0","0.0","61","1.0","32.582","17.582","15.458","-1.76","4.958","9.189","9.582","17.433","32.998","16.251","22.419","-100.0","6.573","6.127","-100.0"
"0.0","0.0","62","1.0","-100.0","17.551","15.458","-1.845","5.076","9.174","9.495","17.401","32.773","16.239","-100.0","-100.0","6.604","5.853","-100.0"
"0.0","0.0","63","1.0","32.569","17.535","15.502","-1.948","5.186","9.115","9.573","17.289","32.191","16.095","22.338","-100.0","6.526","5.863","-100.0"
"0.0","0.0","64","1.0","32.895","17.473","15.473","-1.873","5.086","9.071","9.498","17.223","32.191","16.408","23.194","-100.0","6.566","5.834","-100.0"
"0.0","0.0","65","1.0","-100.0","17.607","15.385","-1.798","5.042","-100.0","9.532","17.336","-100.0","16.126","-100.0","-100.0","6.526","5.736","-100.0"
"0.0","0.0","66","1.0","32.719","17.738","15.429","-1.917","4.995","9.13","9.454","17.401","32.295","16.129","23.207","-100.0","6.494","5.834","-100.0"
