batch,x,y,z,brand,model,angle,sampleNumber,30:23:03:87:17:80#1,30:23:03:87:17:81#1,30:23:03:87:17:82#1,30:23:03:87:17:98#1,30:23:03:87:17:99#1,30:23:03:87:17:9a#1,30:23:03:87:19:6c#1,30:23:03:87:19:6d#1,30:23:03:87:19:6e#1,36:23:03:87:17:80#1,36:23:03:87:17:98#1,36:23:03:87:19:6c#1,58:cb:52:d7:b4:d9#1,58:cb:52:d7:b5:31#1,58:cb:52:d7:b5:5d#1,58:cb:52:d7:bb:61#1
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,29,18.819000000000,6.963000000000,7.372000000000,32.419000000000,16.882000000000,14.857000000000,26.319000000000,8.948000000000,8.427000000000,-100,-100,-100,18.330000000000,3.515000000000,0.004000000000,16.642000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,30,20.857000000000,6.963000000000,7.221000000000,-100,17.032000000000,14.877000000000,25.498000000000,8.910000000000,8.471000000000,-100,-100,-100,18.008000000000,3.515000000000,0.073000000000,16.905000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,31,19.057000000000,6.882000000000,7.338000000000,32.304000000000,16.957000000000,14.975000000000,25.857000000000,8.910000000000,8.309000000000,-100,-100,25.545000000000,18.320000000000,3.529000000000,0.123000000000,16.689000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,32,19.757000000000,6.985000000000,7.387000000000,32.107000000000,16.885000000000,14.818000000000,26.169000000000,8.869000000000,8.558000000000,-100,-100,-100,18.042000000000,3.561000000000,0.148000000000,16.801000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,33,18.832000000000,6.998000000000,7.221000000000,32.876000000000,17.073000000000,14.721000000000,25.382000000000,8.938000000000,8.559000000000,-100,-100,-100,18.117000000000,3.477000000000,-0.123000000000,16.830000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,34,18.669000000000,7.035000000000,7.318000000000,-100,16.966000000000,14.779000000000,26.319000000000,8.941000000000,8.602000000000,-100,-100,-100,18.133000000000,3.561000000000,0.154000000000,16.689000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,35,18.832000000000,6.963000000000,7.313000000000,31.794000000000,16.879000000000,14.838000000000,25.695000000000,8.879000000000,8.661000000000,-100,32.426000000000,-100,18.092000000000,3.564000000000,0.039000000000,16.905000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,36,-100,6.985000000000,7.221000000000,32.569000000000,16.991000000000,14.760000000000,26.088000000000,9.022000000000,8.471000000000,-100,-100,-100,18.226000000000,3.444000000000,-0.045000000000,16.758000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,37,19.179000000000,7.035000000000,7.372000000000,-100,17.007000000000,14.682000000000,-100,8.879000000000,8.529000000000,-100,-100,-100,18.170000000000,3.472000000000,-0.032000000000,16.726000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,38,19.648000000000,6.919000000000,7.357000000000,32.569000000000,16.951000000000,14.740000000000,25.532000000000,8.869000000000,8.676000000000,-100,32.419000000000,-100,18.051000000000,3.515000000000,-0.001000000000,16.808000000000
